Nível 1 - Inglês|Nível 1 - Português|Nível 2 - Inglês|Nível 2 - Português|Nível 3 - Inglês|Nível 3 - Português
||||Goats|Cabras
||||History|História
||||Horses|Cavalos
||||Housing and environmental control|Habitação e controle ambiental
||||Insect rearing|Criação de insetos
||||Laboratory animals|Animais de laboratório
||||Lac-insects|Kerriidae
||||Mules|Mulas
||||Ornamental birds|Pássaros ornamentais
||||Ostrich|Avestruz
||||Pets|Animais de estimação
||||Poultry. Eggs|Aves. Ovos
||||Rangelands. Range management. Grazing|Pastagens. Gestão de pastagens. Pastando
||||Reptiles|Répteis
||||Sericulture. Silk culture|Sericicultura. Cultura de seda
||||Sheep. Wool|Ovelhas. Lã
||||Small animal culture|Cultura de pequenos animais
||||Swine|Suíno
||||Transportation|Transporte
||||Veterinary medicine|Medicina Veterinária
||||Working animals|Animais de trabalho
||||Zoo animals|Animais do zoológico
||Aquaculture. Fisheries. Angling|Aquicultura. Pesca ||
||||Angling |Pesca
||||Aquaculture|Aquicultura
||||Fisheries|Pesca industrial
||||Seafood gathering|Coleta de frutos do mar
||Forestry|Silvicultura||
||||Administration. Policy|Administração. Política
||||Conservation and protection|Conservação e proteção
||||Documents|Documentos
||||Exploitation and utilization|Exploração e utilização
||||Forest meteorology. Forest microclimatology|Meteorologia florestal. Microclimatologia florestal
||||Forest roads|Estradas florestais
||||Forest soils|Solos florestais
||||Forestry education|Educação florestal
||||Forestry machinery and engineering|Maquinaria e Engenharia Florestal
||||History of forestry. Forest conditions|História da silvicultura. Condições da floresta
||||Sylviculture|Silvicultura
||||Tools and implements|Ferramentas e implementos
||||Voyages, etc|Viagens, etc
||Hunting sports|Esportes de caça||
||||Big game|Caça de grande porte
||||Bird hunting. Fowling|Caça de pássaros. Fowling
||||Other game|Outra caça
||||Predator hunting|Caça de predador
||||Shooting|Tiroteio
||||Special methods and types of hunting|Métodos especiais e tipos de caça
||||Varmint hunting (General)|Caça de Varmint (Geral)
||||Wild animal trade|Comércio de animais selvagens
||||Wildlife management. Game protection|Manejo da vida selvagem. Proteção da caça
||||Wildlife-related recreation|Recreação relacionada à vida selvagem
||Plant culture|Cultura de plantas||
||||Artificial light gardening|Jardinagem com luz artificial
||||Economic botany|Botânica Econômica
||||Economic zoology applied to crops. Agricultural zoology|Zoologia econômica aplicada aos cultivos. Zoologia Agrícola
||||Field crops|Colheitas de campo
||||Flowers and flower culture. Ornamental plants|Flores e cultivo de flores. Plantas ornamentais
||||Food crops|Cultivos alimentares
||||Forcing|Forcing
||||Fruit and fruit culture|Frutas e fruticultura
||||Gardens and gardening|Jardins e jardinagem
||||Growth regulators|Reguladores de crescimento
||||Harvesting, curing, storage|Colheita, tratamentos, armazenamento
||||History|História
||||Horticultural voyages, etc.|Viagens hortícolas, etc.
||||Horticulture. Horticultural crops|Horticultura. Culturas hortícolas
||||Hydroponics. Soilless agriculture|Hidroponia. Agricultura sem solo
||||Irrigation farming|Agricultura irrigada
||||Landscape gardening. Landscape architecture|Jardinagem paisagística. Arquitetura paisagista 
||||Methods for special areas|Métodos para áreas especiais
||||Nurseries. Nursery industry|Viveiros. Indústria de viveiros
||||Parks and public reservations|Parques e reservas públicas
||||Pests and diseases|Pragas e doenças
||||Propagation|Propagação
||||Seeds. Seed technology|Sementes. Tecnologia de sementes
||||Training and pruning|Treinamento e poda
||||Tree crops|Cultivo de árvores
||||Vegetables|Vegetais
Auxiliary sciences of history|Ciências auxiliares da História||||
||Archaeology|Arqueologia||
||||Bells. Campanology. Cowbells|Sinos. Campanologia. Cowbells
||||Boundary stones|Marco de fronteira
||||Crosses|Cruzes
||||Forgeries of antiquities|Falsificações de antiguidades
||||Hill figures|Figuras de colina
||||Lanterns of the dead|Lanternas dos mortos
||||Philosophy. Theory|Filosofia. Teoria
||||Preservation, restoration, and conservation of antiquities.|Preservação, restauração e conservação de antiguidades.
||||Stone heaps, cairns, etc., of unknown purpose|Montes de pedra, montículos, etc., de propósito desconhecido
||||Study and teaching. Research|Estudo e ensino. Pesquisa
||Auxiliary Sciences of History (General)|Ciências auxiliares da História (Geral)||
||Biography|Biografia||
||||Biography as an art or literary form|Biografia como arte ou forma literária
||||Biography. By subject|Biografia. Por assunto
||||General collective biography|Biografia coletiva geral
||||History of biographical literature. Lives of biographers|História da literatura biográfica. Vidas de biógrafos
||||National biography|Biografia nacional
||Diplomatics. Archives. Seals|Diplomática. Arquivos. Selos||
||||Archives|Arquivos
||||Diplomatics|Diplomáticos
||||Seals|Selos
||Genealogy|Genealogia||
||||Family history covering more than one country|História da família cobrindo mais de um país
||||Genealogical lists, etc., covering more than one country or continent|Listas genealógicas, etc., cobrindo mais de um país ou continente
||||Personal and family names|Nomes pessoais e de família
||Heraldry|Heráldica||
||||Chivalry and knighthood (Orders, decorations, etc.)|Cavalaria e cavaleiros (ordens, condecorações, etc.)
||||Crests, monograms, devices, badges, mottoes, etc.|Brasões, monogramas, dispositivos, emblemas, lemas, etc.
||||Ecclesiastical and sacred heraldry|Heráldica eclesiástica e sagrada
||||Family heraldry|Heráldica familiar
||||Flags, banners, and standards|Bandeiras, banners e padrões
||||Public and official heraldry|Heráldica pública e oficial
||||Royalty. Insignia. Regalia, crown and coronets, etc.|Realeza. Insígnia. Regalia, coroa e diademas, etc.
||||Shields and supporters|Escudos e suportes
||||Titles of honor, rank, precedence, etc.|Títulos de honra, posição, precedência, etc.
||History of Civilization|História da Civilização||
||||Civilization and race|Civilização e raça
||||Forecasts of future progress|Previsões de progresso futuro
||||Relation to special topics|Relação com tópicos especiais
||||Terrestrial evidence of interplanetary voyages|Evidência terrestre de viagens interplanetárias
||Inscriptions. Epigraphy|Inscrições. Epigrafia||
||||Ancient inscriptions|Inscrições antigas
||||Early Christian inscriptions|Inscrições cristãs primitivas
||||Medieval inscriptions (General)|Inscrições medievais (Geral)
||||Modern inscriptions (General)|Inscrições modernas (Geral)
||Numismatics|Numismática||
||||Coins|Moedas
||||Medals and medallions|Medalhas e medalhões
||||Tokens|Tokens
||Technical Chronology. Calendar|Cronologia técnica. Calendário||
||||Ancient|Ancestral
||||Medieval and modern|Medieval e moderno
||||Perpetual calendars. Century calendars, etc.|Calendários perpétuos. Calendários seculares, etc.
Bibliography. Library science. Information resources|Bibliografia. Biblioteconomia. Recursos de informação||||
||Book industries and trade|Indústria e comércio de livros||
||||Book design|Design de livro
||||Bookbinding. Book decoration|Encadernação. Decoração de livro
||||Bookselling and publishing|Venda de livros e publicação
||||Copyright|Direito autoral
||||Freedom of the press. Censorship|Liberdade de imprensa. Censura
||||Printing|Impressão
||||Treatises on the modern printed book|Tratados sobre o livro impresso moderno
||Books (General). Writing. Paleography|Livros (Geral). Escrita. Paleografia||
||||History of books and bookmaking|História dos livros e da confecção de livros
||||Manuscripts. Paleography|Manuscritos. Paleografia
||||Writing|Escrita
||General bibliography|Bibliografia geral||
||||Anonyms and pseudonyms|Anônimos e pseudônimos
||||Best books|Melhores livros
||||Biography of bibliographers|Biografia de bibliógrafos
||||Books for special classes of persons, institutions, etc.|Livros para classes especiais de pessoas, instituições, etc.
||||Booksellers' general catalogs of modern books|Catálogos gerais de livrarias de livros modernos
||||Choice of books. Books and reading. Book reviews|Escolha de livros. Livros e leitura. Resenhas de livros
||||General bibliographies|Bibliografias gerais
||||Introduction to bibliography. Theory, philosophy,|Introdução à bibliografia. Teoria, filosofia,
||||Special classes of books|Classes especiais de livros
||Information resources (General)|Recursos de informação (Geral)||
||||Government information|Informação governamental
||||Information in specific formats or media|Informações em formatos ou mídias específicas
||||Information services. Information centers|Serviços de informação. Centros de informação
||||Information superhighway|Superestrada da informação
||Libraries|Bibliotecas||
||||Book collecting|Coleção de livros
||||Booksellers' catalogs|Catálogos de livraria
||||Collections|Coleções
||||Libraries (General)|Bibliotecas (Geral)
||||Library catalogs and bulletins|Catálogos e boletins de biblioteca
||||Library reports. History. Statistics|Relatórios da biblioteca. História. Estatísticas
||||Library science. Information science|Biblioteconomia. Ciência da Informação
||||Private libraries|Bibliotecas privadas
||National bibliography|Bibliografia nacional||
||||Africa|África
||||America|América
||||Asia|Ásia
||||Australia. Oceania|Austrália. Oceânia
||||Eastern Hemisphere|Hemisfério Oriental
||||Europe|Europa
||Personal bibliography|Bibliografia pessoal||
||||Names of individuals arranged in alphabetical sequence|Nomes de indivíduos dispostos em sequência alfabética
||Subject bibliography|Bibliografia de assunto||
||||Subjects arranged in alphabetical sequence|Assuntos organizados em sequência alfabética
Education|Educação||||
||College and school magazines and papers|Revistas e jornais universitários e escolares||
||Education (General)|Educação (Geral)||
||||Congresses |Congressos
||||Directories of educational institutions |Diretórios de instituições de ensino
||||Educational exhibitions and museums|Exposições educativas e museus
||||Official documents, reports, etc. |Documentos oficiais, relatórios, etc.
||||Periodicals. Societies|Publicações periódicas. Sociedades
||||School fairs |Feiras escolares
||||Yearbooks|Anuários
||History of education|História da educação||
||||General|Geral
||||Higher education|Ensino superior
||||Biography|Biografia
||Individual institutions|Instituições individuais||
||||Africa |África
||||Asia |Ásia
||||Europe |Europa
||||North America |América do Norte
||||Oceania |Oceânia
||||South America |América do Sul
||Special aspects of education|Aspectos especiais da educação||
||||Education and travel|Educação e viagens
||||Education extension. Adult education. Continuing education|Extensão educacional. Educação de adultos. Educação continuada
||||Education of special classes of persons|Educação de pessoas de classes especiais 
||||Forms of education|Formas de educação
||||Fundamental education|Educação fundamental
||||Inclusive education|Educação inclusiva
||||Moral and religious education|Educação moral e religiosa
||||Social aspects of education|Aspectos sociais da educação
||||Traveling educational exhibits|Exposições educacionais itinerantes
||||Types of education|Tipos de educação
||Student organizations, societies  and fraternities|Organizações, sociedades e fraternidades estudantis||
||Textbooks|Livros didáticos||
||Theory and practice of education|Teoria e prática da educação||
||||Child study|Estudo infantil
||||Early childhood education|Educação infantil
||||Education and training of teachers and administrators|Educação e treinamento de professores e administradores
||||Educational consultants and consulting|Consultores e consultoria educacional
||||Educational psychology|Psicologia Educacional
||||Elementary or public school education|Educação primária ou escola pública
||||General|Geral
||||Higher education|Educação superior
||||Hygiene in universities and colleges|Higiene em universidades e faculdades
||||Kindergarten|Jardim de infância
||||Preschool education. Nursery schools|Educação pré-escolar. Creches
||||Primary education|Educação primária
||||School administration and organization|Administração e organização escolar
||||School architecture and equipment. School physical facilities|Arquitetura e equipamentos escolares. Instalações físicas escolares
||||School hygiene. School health services|Higiene escolar. Serviços de saúde escolar
||||School life. Student manners and customs|Vida escolar. Maneiras e costumes dos alunos
||||Secondary education. High schools|Educação secundária. Escolas de ensino médio
||||Special days|Dias especiais
||||Systems of individual educators and writers|Sistemas de educadores e escritores individuais
||||Teaching (Principles and practice)|Ensino (princípios e prática)
Fine Arts|Belas-Artes||||
||Architecture|Arquitetura||
||||Aesthetics of cities. City planning and beautifying|Estética das cidades. Planejamento e embelezamento da cidade
||||Architectural criticism|Crítica arquitetônica
||||Architectural drawing and design|Desenho e projeto arquitetônico
||||Architecture and the state|Arquitetura e o estado
||||Architecture as a profession|Arquitetura como profissão
||||Competitions|Competições
||||Details and decoration|Detalhes e decoração
||||General|Geral
||||General works|Obras gerais
||||History|História
||||Museums. Exhibitions|Museus. Exposições
||||Special classes of buildings|Classes especiais de edifícios
||||Study and teaching. Research|Estudo e ensino. Pesquisa
||Arts in general|Artes em geral||
||||Administration of the arts|Administração artística
||||Arts centers and facilities|Centros e instalações de artes
||||Competitions|Competições
||||Exhibitions|Exposições
||||General|Geral
||||History of the arts|História das artes
||||Patronage of the arts|Mecenato 
||||Special subjects, characters, persons, religious arts, etc.|Assuntos especiais, personagens, pessoas, artes religiosas, etc.
||||Study and teaching. Research|Estudo e ensino. Pesquisa
||||Voluntarism in the arts|Voluntarismo nas artes
||Decorative arts|Artes decorativas||
||||General|Geral
||||History|História
||||Arts and crafts movement|Movimento de artes e ofícios
||||Decoration and ornament. Design|Decoração e ornamento. Projeto
||||Religious art|Arte religiosa
||||Interior decoration. House decoration|Decoração de interior. Decoração da casa
||||Furniture|Mobília
||||Rugs and carpets|Tapetes e carpetes
||||Tapestries|Tapeçarias
||||Upholstery. Drapery|Estofo. Drapejamento
||||Wallpapers|Papéis de parede
||||Other arts and art industries|Outras artes e indústrias de arte
||Drawing. Design. Illustration|Desenhando. Projeto. Ilustração||
||||Commercial art. Advertising art|Arte comercial. Arte publicitária
||||Competitions|Competições
||||Conservation and restoration of drawings|Conservação e restauração de desenhos
||||Copying, enlarging, and reduction of drawings|Cópia, ampliação e redução de desenhos
||||General|Geral
||||General works|Obras gerais
||||Graphic art materials|Materiais de arte gráfica
||||Greeting cards, postcards, invitations, book jackets, etc.|Cartões de felicitações, cartões postais, convites, capas de livros, etc.
||||History of drawing|História do desenho
||||Illustration|Ilustração
||||Pictorial humor, caricature, etc.|Humor pictórico, caricatura, etc.
||||Posters|Pôsteres
||||Printed ephemera. Imagerie populaire|Coisas efêmeras impressas. Imagerie populaire
||||Special subjects|Assuntos especiais
||||Study and teaching|Estudo e ensino
||||Technique|Técnica
||Painting|Pintura||
||||Examination and conservation of paintings|Exame e conservação de pinturas
||||General|Geral
||||General works|Obras gerais
||||History|História
||||Illuminating of manuscripts and books|Esclarecendo manuscritos e livros
||||Mural painting|Muralismo
||||Special subjects|Assuntos especiais
||||Study and teaching|Estudo e ensino
||||Technique and materials|Técnica e materiais
||||Watercolor painting|Pintura aquarela
||Print media|Mídia impressa||
||||Copying art. Copying machine art|Copiando arte. Arte com fotocopiadora 
||||Engraving on glass|Gravura em vidro
||||Etching and aquatint|Gravura e aquatint
||||Lithography|Litografia
||||Lumiprints|Lumiprints
||||Metal engraving|Gravura em metal
||||Monotype (Printmaking)|Monotipo (Impressão)
||||Printing of engravings|Impressão de gravuras
||||Printmaking and engraving|Impressão e gravura
||||Serigraphy|Serigrafia
||||Wood engraving|Gravura em madeira
||Sculpture|Escultura||
||||Competitions|Competições
||||Designs and technique|Designs e técnica
||||General|Geral
||||General works|Obras gerais
||||History|História
||||Mobiles, color, sculpture gardens, etc.|Móveis, cores, parque de escultura, etc.
||||Restoration of sculptures|Restauração de esculturas
||||Special forms|Formulários especiais
||||Special materials|Materiais especiais
||||Special subjects|Assuntos especiais
||||Study and teaching|Estudo e ensino
||Visual arts|Artes visuais||
||||Art and the state. Public art|Arte e estado. Arte pública
||||Art as a profession. Artists|Arte como profissão. Artistas
||||Art museums, galleries, etc.|Museus de arte, galerias, etc.
||||Art studios, materials, etc.|Estúdios de arte, materiais, etc.
||||Economics of art|Economia e arte
||||Examination and conservation of works of art|Exame e conservação de obras de arte
||||Exhibitions|Exposições
||||General|Geral
||||General works|Obras gerais
||||History|História
||||Private collections and collectors|Coleções particulares e colecionadores
||||Special subjects of art|Disciplinas especiais de arte
||||Study and teaching. Research|Estudo e ensino. Pesquisa
||||Theory. Philosophy. Aesthetics of the visual arts|Teoria. Filosofia. Estética das artes visuais
General Works|Obras Gerais||||
||Academies and learned societies|Academias e sociedades científicas||
||||International associations, congresses, conferences, etc.|Associações internacionais, congressos, conferências, etc.
||Collections. Series. Collected works|Coleções. Series. Trabalhos coletados||
||||Collections for Jewish readers|Coleções para leitores judeus
||||Collections of monographs, essays, etc.|Coleções de monografias, ensaios, etc.
||||Inaugural and program dissertations|Dissertações inaugurais e do programa
||||Pamphlet collections|Coleção de panfletos
||||Scrapbooks|Álbuns de recortes
||Dictionaries and other general reference works|Dicionários e outras obras de referência geral||
||Encyclopedias|Enciclopédias||
||History of scholarship and learning. The humanities|História da bolsa de estudos e aprendizagem. As humanidades||
||||Evaluation|Avaliação
||||History|História
||||Philosophy. Theory|Filosofia. Teoria
||Indexes|Índices||
||Museums. Collectors and collecting|Museus. Colecionadores e coleta||
||||Collectors and collecting|Colecionadores e coleções
||||Museology. Museum methods, technique, etc.|Museologia. Métodos de museu, técnica, etc.
||Newspapers|Jornais||
||Periodicals|Periódicos||
||||Humorous periodicals|Periódicos humorísticos
||||Juvenile periodicals|Periódicos juvenis
||||Periodicals for Blacks|Periódicos para negros
||||Periodicals for women|Periódicos para mulheres
||Yearbooks. Almanacs. Directories|Anuários. Almanaques. Diretórios||
||||Almanacs|Almanaques
||||Annuals|Anuários
||||Directories. General works on the compilation of directories, etc.|Diretórios. Trabalhos gerais de compilação de diretórios, etc.
Geography. Anthropology. Recreation|Geografia. Antropologia. Lazer||||
||Anthropology|Antropologia||
||||Ethnology. Social and cultural anthropology|Etnologia. Antropologia social e cultural
||||Physical anthropology. Somatology|Antropologia física. Somatologia
||||Prehistoric archaeology|Arqueologia pré-histórica
||Atlases|Atlas||
||||Atlases of imaginary, literary, and mythological|Atlas do imaginário, literário e mitológico
||||Atlases of the moon, planets, etc|Atlas da lua, planetas, etc.
||||Maritime atlases (General)|Atlas marítimos (Geral)
||||Northern and Southern Hemispheres|Hemisférios norte e sul
||||Polar regions. Frigid Zone|Regiões polares. Zona Polar
||||Tropics. Torrid Zone|Trópicos. Zona Tropical
||||World atlases. Atlases of the Earth|Atlas mundiais. Atlas da Terra
||Environmental sciences|Ciencias ambientais||
||||Environmental education|Educação ambiental
||||Environmental management|Gestão ambiental
||||Environmental policy|Política ambiental
||||Environmentalism. Green movement|Ambientalismo. Movimento verde
||Folklore|Folclore||
||||Folk literature (General)|Literatura popular (Geral)
||||Folk beliefs, superstitions, etc. (General)|Crenças populares, superstições, etc. (Geral)
||Geography (General)|Geografia (Geral)||
||||Adventures, shipwrecks, buried treasure, etc.|Aventuras, naufrágios, tesouros enterrados, etc.
||||Aerial geography|Geografia aérea
||||Arctic and Antarctic regions|Regiões Árticas e Antárticas
||||Geographers|Geógrafos
||||Great cities of the world|Grandes cidades do mundo
||||Historical geography|Geografia histórica
||||History of discoveries, explorations, and travel|História de descobertas, explorações e viagens
||||History of geography|História da geografia
||||Northern and Southern Hemispheres|Hemisférios Norte e Sul
||||Philosophy. Relation to other topics. Methodology|Filosofia. Relação com outros tópicos. Metodologia
||||Seafaring life, ocean travel, etc.|Vida marítima, viagens marítimas, etc.
||||Special voyages and travels|Viagens especiais
||||Toponymy|Toponímia
||||Travel. Voyages and travels (General)|Viagem. Viagens e viagens (geral)
||||Tropics (General)|Trópicos (geral)
||Globes|Globos||
||Human ecology. Anthropogeography|Ecologia humana. Antropogeografia||
||||Environmental influences on humans|Influências ambientais em humanos
||||Human influences on the environment|Influências humanas no meio ambiente
||||Settlements|Assentamentos
||Maps|Mapas||
||||Celestial maps|Mapas celestiais
||||Moon|Lua
||||Northern and Southern Hemispheres|Hemisférios Norte e Sul
||||Polar regions. Frigid Zone|Regiões polares. Zona Polar
||||Temperate Zone|Zona temperada
||||Tropics. Torrid Zone|Trópicos. Zona Tropical
||||Universe. Solar system|Universo. Sistema solar
||||Unlocalized maps|Mapas não localizados
||||World. Earth|Mundo. Terra
||Manners and customs (General)|Modos e costumes (Geral)||
||||Churches and church going|Igrejas e indo à igreja
||||Costume. Dress. Fashion|Traje. Vestido. Moda
||||Customs relative to private life|Costumes relativos à vida privada
||||Customs relative to public and social life|Costumes relativos à vida pública e social
||||Customs relative to special classes|Costumes relativos às classes especiais
||||Customs relative to transportation and travel|Costumes relativos a transporte e viagens
||||Houses. Dwellings|Casas. Moradias
||||Human body and its parts. Personal beauty|Corpo humano e suas partes. Beleza pessoal
||Mathematical geography. Cartography|Geografia Matemática. Cartografia||
||||Cartography|Cartografia
||||Surveys (General)|Pesquisas (Geral)
||Oceanography|Oceanografia||
||||Chemical oceanography|Oceanografia química
||||Dynamics of the ocean|Dinâmicas do oceano
||||Estuarine oceanography|Oceanografia estuarina
||||Marine pollution. Sea water pollution|Poluição marinha. Poluição da água do mar
||||Marine resources. Applied oceanography|Recursos marinhos. Oceanografia aplicada
||||Marine sediments|Sedimentos marinhos
||||Ocean-atmosphere interaction|Interação oceano-atmosfera
||||Oceanographic expeditions|Expedições oceanográficas
||||Physical oceanography|Oceanografia física
||||Seawate|Seawate
||||Submarine topography|Topografia submarina
||||Underwater exploration|Exploração subaquática
||Physical geography|Geografia Física||
||||Geomorphology. Landforms. Terrain|Geomorfologia. Formas de relevo. Terreno
||||Hydrology. Water|Hidrologia. Água
||||Natural disasters|Desastres naturais
||Recreation. Leisure|Recreação. Lazer||
||||Circuses, spectacles, etc.|Circos, espetáculos, etc.
||||Dancing|Dança
||||Games and amusements|Jogos e diversões
||||Outdoor life. Outdoor recreation|Vida ao ar livre. Recreação ao ar livre
||||Physical education and training|Educação física e treinamento
||||Recreation leadership. Administration of recreation services|Liderança de recreação. Administração de serviços recreativos
||||Recreational areas and facilities. Recreation centers|Áreas e instalações recreativas. Centros de recreação
||||Sports|Esportes
History|História ||||
||History (General)|História (Geral)||
||||Ancient history|História antiga
||||General|Geral
||||Medieval and modern history, 476­|História medieval e moderna, 476
||||Medieval history|História medieval
||||Military and naval history|História militar e naval
||||Modern history, 1453-|História moderna, 1453-
||||Political and diplomatic history|História política e diplomática
||History of Africa|História da África||
||||Angola|Angola
||||Botswana. Bechuanaland|Botsuana. Bechuanalândia
||||British Central Africa. Federation of Rhodesia and Nyasaland|África Central Britânica. Federação da Rodésia e Niassalândia
||||Central Sub-Saharan Africa|África Subsaariana Central
||||Description and travel|Descrição e viagem
||||Eastern Africa|África Oriental
||||Egypt|Egito
||||Ethnography|Etnografia
||||History|História
||||Lesotho. Basutoland|Lesoto. Basutolândia
||||Maghrib. Barbary States|Maghrib. Berbéria
||||Malawi. Nyasaland|Malawi. Niassalândia
||||Mozambique|Moçambique
||||Namibia. South-West Africa|Namíbia. Sudoeste Africano
||||North Africa|África do Norte
||||Northwest Africa|Noroeste da África
||||South Africa|África do Sul
||||Southern Africa|África Austral
||||Sudan. Anglo-Egyptian Sudan|Sudão. Sudão Anglo-Egípcio
||||Swaziland|Suazilândia
||||West Africa. West Coast|África Ocidental. Costa Oeste
||||Zambia. Northern Rhodesia|Zâmbia. Rodésia do Norte
||||Zimbabwe. Southern Rhodesia|Zimbábue. Rodésia do Sul
||History of America|História da América||
||||Descriptive accounts of America. Earliest to 1810|Relatos descritivos da América. Antes de 1810
||||Discovery of America and early explorations|Descoberta da América e primeiras explorações
||||General|Geral
||||Indians of North America|Índios da América do Norte
||||North America|América do Norte
||||Pre-Columbian America. The Indians|América Pré-Colombiana. Os índios
||History of Asia|História da Ásia||
||||Afghanistan|Afeganistão
||||Antiquities|Antiguidades
||||Arab countries|Países árabes
||||Arabian Peninsula. Saudi Arabia|Península Arábica. Arábia Saudita
||||Armenia|Armênia
||||Asia Minor|Ásia Menor
||||Bangladesh. East Pakistan|Bangladesh. Paquistão Oriental
||||Bhutan|Butão
||||Central Asia|Ásia Central
||||China|China
||||Description and travel|Descrição e viagem
||||East Asia. The Far East|Ásia Oriental. Extremo Oriente
||||Ethnography|Etnografia
||||Goa. Portuguese in India|Goa. Português na Índia
||||History|História
||||India (Bharat)|Índia (Bharat)
||||Iran (Persia)|Irã (Pérsia)
||||Iraq (Assyria, Babylonia, Mesopotamia)|Iraque (Assíria, Babilônia, Mesopotâmia)
||||Israel (Palestine). The Jews|Israel (Palestina). Os Judeus
||||Japan|Japão
||||Jordan. Transjordan|Jordânia. Transjordânia
||||Korea|Coréia
||||Lebanon (Phenicia)|Líbano (Fenícia)
||||Middle East. Southwestern Asia. Ancient Orient. Arab East. Near|Oriente Médio. Ásia Ocidental. Antigo Oriente. Arábia Oriental. Próximo
||||Nepal|Nepal
||||Pakistan|Paquistão
||||Southeast Asia|Sudeste Asiático
||||Southern Asia. Indian Ocean Region|Sul Asiático. Região do Oceano Índico
||||Sri Lanka|Sri Lanka
||||Syria|Síria
||||The Islamic World|O Mundo Islâmico
||History of Austria. Liechtenstein. Hungary. Czechoslovakia|História da Áustria. Liechtenstein. Hungria. Checoslováquia||
||||Austria. Austro-Hungarian Empire|Áustria. Império Austro-Húngaro
||||Czechoslovakia|Checoslováquia
||||Hungary|Hungria
||||Liechtenstein|Liechtenstein
||History of Balkan Peninsula|História da Península balcânica||
||||General|Geral
||||Description and travel|Descrição e viagem
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||History. Balkan War, 1912-1913|História. Guerra dos Balcãs, 1912-1913
||||Thrace|Trácia
||||Bulgaria|Bulgária
||||Romania|Romênia
||||Turkey|Peru
||||Albania|Albânia
||||Yugoslavia|Iugoslávia
||History of British America|História da América Britânica||
||||Canada|Canadá
||||Other than Canada|Outro além de Canadá
||History of Dutch America|História da América Holandesa||
||||Colony in Brazil, 1625-1661|Colônia no Brasil, 1625-1661
||||Dutch Guinea|Guiné Holandesa
||||Dutch West Indies|Índias Ocidentais Holandesas
||||New Netherlands to 1664|Nova Holanda para 1664
||||New Sweden (Dutch possession, 1655-1664)|Nova Suécia (possessão holandesa, 1655-1664)
||History of Central Europe|História da Europa Central||
||||General|Geral
||||History|História
||History of Eastern Europe|História da Europa Oriental||
||||Ethnography|Etnografia
||||History|História
||||Local history and description|História local e descrição
||History of France|História da França||
||||Andorra|Andorra
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||Description and travel|Descrição e viagem
||||General|Geral
||||History|História
||||Local history and description|História local e descrição
||||Monaco|Mônaco
||History of French America|História da América Francesa||
||||Other French America|Outra América Francesa
||||Saint Pierre and Miquelon|São Pedro e Miquelão
||History of Germany|História da Alemanha||
||||Antiquities. Social life and customs. Ethnography|Antiguidades. Vida social e costumes. Etnografia
||||Description and travel|Descrição e viagem
||||East Germany|Alemanha Oriental
||||General|Geral
||||History|História
||||History of the Greco-Roman world|História do mundo Greco-Romano
||||Local history and description|História local e descrição
||||Prussia|Prússia
||||West Germany|Alemanha Ocidental
||History of Great Britain|História da Grã-Bretanha||
