notation;prefLabel
LC00196;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia geral - Classes especiais de livros
LC00197;Bibliografia. Biblioteconomia. Recursos de informação - Recursos de informação (Geral)
LC00198;Bibliografia. Biblioteconomia. Recursos de informação - Recursos de informação (Geral) - Informação governamental
LC00199;Bibliografia. Biblioteconomia. Recursos de informação - Recursos de informação (Geral) - Informações em formatos ou mídias específicas
LC00200;Bibliografia. Biblioteconomia. Recursos de informação - Recursos de informação (Geral) - Serviços de informação. Centros de informação
LC00201;Bibliografia. Biblioteconomia. Recursos de informação - Recursos de informação (Geral) - Superestrada da informação
LC00202;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas
LC00203;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas - Coleção de livros
LC00204;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas - Catálogos de livraria
LC00205;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas - Coleções
LC00206;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas - Bibliotecas (Geral)
LC00207;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas - Catálogos e boletins de biblioteca
LC00208;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas - Relatórios da biblioteca. História. Estatísticas
LC00209;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas - Biblioteconomia. Ciência da Informação
LC00210;Bibliografia. Biblioteconomia. Recursos de informação - Bibliotecas - Bibliotecas privadas
LC00211;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia nacional
LC00212;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia nacional - África
LC00213;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia nacional - América
LC00214;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia nacional - Ásia
LC00215;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia nacional - Austrália. Oceânia
LC00216;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia nacional - Hemisfério Oriental
LC00217;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia nacional - Europa
LC00218;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia pessoal
LC00219;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia pessoal - Nomes de indivíduos dispostos em sequência alfabética
LC00220;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia de assunto
LC00221;Bibliografia. Biblioteconomia. Recursos de informação - Bibliografia de assunto - Assuntos organizados em sequência alfabética
LC00222;Educação
LC00223;Educação - Bibliografia de assunto
LC00224;Educação - Revistas e jornais universitários e escolares
LC00225;Educação - Educação (Geral)
LC00226;Educação - Educação (Geral) - Congressos
LC00227;Educação - Educação (Geral) - Diretórios de instituições de ensino
LC00228;Educação - Educação (Geral) - Exposições educativas e museus
LC00229;Educação - Educação (Geral) - Documentos oficiais
LC00230;Educação - Educação (Geral) - Publicações periódicas. Sociedades
LC00231;Educação - Educação (Geral) - Feiras escolares
LC00232;Educação - Educação (Geral) - Anuários
LC00233;Educação - História da educação
LC00234;Educação - História da educação - Geral
LC00235;Educação - História da educação - Ensino superior
LC00236;Educação - História da educação - Biografia
LC00237;Educação - Instituições individuais
LC00238;Educação - Instituições individuais - África
LC00239;Educação - Instituições individuais - Ásia
LC00240;Educação - Instituições individuais - Europa
LC00241;Educação - Instituições individuais - América do Norte
LC00242;Educação - Instituições individuais - Oceânia
LC00243;Educação - Instituições individuais - América do Sul
LC00244;Educação - Aspectos especiais da educação
LC00245;Educação - Aspectos especiais da educação - Educação e viagens
LC00246;Educação - Aspectos especiais da educação - Extensão educacional. Educação de adultos. Educação continuada
LC00247;Educação - Aspectos especiais da educação - Educação de pessoas de classes especiais 
LC00248;Educação - Aspectos especiais da educação - Formas de educação
LC00249;Educação - Aspectos especiais da educação - Educação fundamental
LC00250;Educação - Aspectos especiais da educação - Educação inclusiva
LC00251;Educação - Aspectos especiais da educação - Educação moral e religiosa
LC00252;Educação - Aspectos especiais da educação - Aspectos sociais da educação
LC00253;Educação - Aspectos especiais da educação - Exposições educacionais itinerantes
LC00254;Educação - Aspectos especiais da educação - Tipos de educação
LC00255;Educação - Organizações
LC00256;Educação - Livros didáticos
LC00257;Educação - Teoria e prática da educação
LC00258;Educação - Teoria e prática da educação - Estudo infantil
LC00259;Educação - Teoria e prática da educação - Educação infantil
LC00260;Educação - Teoria e prática da educação - Educação e treinamento de professores e administradores
LC00261;Educação - Teoria e prática da educação - Consultores e consultoria educacional
LC00262;Educação - Teoria e prática da educação - Psicologia Educacional
LC00263;Educação - Teoria e prática da educação - Educação primária ou escola pública
LC00264;Educação - Teoria e prática da educação - Geral
LC00265;Educação - Teoria e prática da educação - Educação superior
LC00266;Educação - Teoria e prática da educação - Higiene em universidades e faculdades
LC00267;Educação - Teoria e prática da educação - Jardim de infância
LC00268;Educação - Teoria e prática da educação - Educação pré-escolar. Creches
LC00269;Educação - Teoria e prática da educação - Educação primária
LC00270;Educação - Teoria e prática da educação - Administração e organização escolar
LC00271;Educação - Teoria e prática da educação - Arquitetura e equipamentos escolares. Instalações físicas escolares
LC00272;Educação - Teoria e prática da educação - Higiene escolar. Serviços de saúde escolar
LC00273;Educação - Teoria e prática da educação - Vida escolar. Maneiras e costumes dos alunos
LC00274;Educação - Teoria e prática da educação - Educação secundária. Escolas de ensino médio
LC00275;Educação - Teoria e prática da educação - Dias especiais
LC00276;Educação - Teoria e prática da educação - Sistemas de educadores e escritores individuais
LC00277;Educação - Teoria e prática da educação - Ensino (princípios e prática)
LC00278;Belas-Artes
LC00279;Belas-Artes - Teoria e prática da educação
LC00280;Belas-Artes - Arquitetura
LC00281;Belas-Artes - Arquitetura - Estética das cidades. Planejamento e embelezamento da cidade
LC00282;Belas-Artes - Arquitetura - Crítica arquitetônica
LC00283;Belas-Artes - Arquitetura - Desenho e projeto arquitetônico
LC00284;Belas-Artes - Arquitetura - Arquitetura e o estado
LC00285;Belas-Artes - Arquitetura - Arquitetura como profissão
LC00286;Belas-Artes - Arquitetura - Competições
LC00287;Belas-Artes - Arquitetura - Detalhes e decoração
LC00288;Belas-Artes - Arquitetura - Geral
LC00289;Belas-Artes - Arquitetura - Obras gerais
LC00290;Belas-Artes - Arquitetura - História
LC00291;Belas-Artes - Arquitetura - Museus. Exposições
LC00292;Belas-Artes - Arquitetura - Classes especiais de edifícios
LC00293;Belas-Artes - Arquitetura - Estudo e ensino. Pesquisa
LC00294;Belas-Artes - Artes em geral
LC00295;Belas-Artes - Artes em geral - Administração artística
LC00296;Belas-Artes - Artes em geral - Centros e instalações de artes
LC00297;Belas-Artes - Artes em geral - Competições
LC00298;Belas-Artes - Artes em geral - Exposições
LC00299;Belas-Artes - Artes em geral - Geral
LC00300;Belas-Artes - Artes em geral - História das artes
LC00301;Belas-Artes - Artes em geral - Mecenato 
LC00302;Belas-Artes - Artes em geral - Assuntos especiais
LC00303;Belas-Artes - Artes em geral - Estudo e ensino. Pesquisa
LC00304;Belas-Artes - Artes em geral - Voluntarismo nas artes
LC00305;Belas-Artes - Artes decorativas
LC00306;Belas-Artes - Artes decorativas - Geral
LC00307;Belas-Artes - Artes decorativas - História
LC00308;Belas-Artes - Artes decorativas - Movimento de artes e ofícios
LC00309;Belas-Artes - Artes decorativas - Decoração e ornamento. Projeto
LC00310;Belas-Artes - Artes decorativas - Arte religiosa
LC00311;Belas-Artes - Artes decorativas - Decoração de interior. Decoração da casa
LC00312;Belas-Artes - Artes decorativas - Mobília
LC00313;Belas-Artes - Artes decorativas - Tapetes e carpetes
LC00314;Belas-Artes - Artes decorativas - Tapeçarias
LC00315;Belas-Artes - Artes decorativas - Estofo. Drapejamento
LC00316;Belas-Artes - Artes decorativas - Papéis de parede
LC00317;Belas-Artes - Artes decorativas - Outras artes e indústrias de arte
LC00318;Belas-Artes - Desenhando. Projeto. Ilustração
LC00319;Belas-Artes - Desenhando. Projeto. Ilustração - Arte comercial. Arte publicitária
LC00320;Belas-Artes - Desenhando. Projeto. Ilustração - Competições
LC00321;Belas-Artes - Desenhando. Projeto. Ilustração - Conservação e restauração de desenhos
LC00322;Belas-Artes - Desenhando. Projeto. Ilustração - Cópia
LC00323;Belas-Artes - Desenhando. Projeto. Ilustração - Geral
LC00324;Belas-Artes - Desenhando. Projeto. Ilustração - Obras gerais
LC00325;Belas-Artes - Desenhando. Projeto. Ilustração - Materiais de arte gráfica
LC00326;Belas-Artes - Desenhando. Projeto. Ilustração - Cartões de felicitações
LC00327;Belas-Artes - Desenhando. Projeto. Ilustração - História do desenho
LC00328;Belas-Artes - Desenhando. Projeto. Ilustração - Ilustração
LC00329;Belas-Artes - Desenhando. Projeto. Ilustração - Humor pictórico
LC00330;Belas-Artes - Desenhando. Projeto. Ilustração - Pôsteres
LC00331;Belas-Artes - Desenhando. Projeto. Ilustração - Coisas efêmeras impressas. Imagerie populaire
LC00332;Belas-Artes - Desenhando. Projeto. Ilustração - Assuntos especiais
LC00333;Belas-Artes - Desenhando. Projeto. Ilustração - Estudo e ensino
LC00334;Belas-Artes - Desenhando. Projeto. Ilustração - Técnica
LC00335;Belas-Artes - Pintura
LC00336;Belas-Artes - Pintura - Exame e conservação de pinturas
LC00337;Belas-Artes - Pintura - Geral
LC00338;Belas-Artes - Pintura - Obras gerais
LC00339;Belas-Artes - Pintura - História
LC00340;Belas-Artes - Pintura - Esclarecendo manuscritos e livros
LC00341;Belas-Artes - Pintura - Muralismo
LC00342;Belas-Artes - Pintura - Assuntos especiais
LC00343;Belas-Artes - Pintura - Estudo e ensino
LC00344;Belas-Artes - Pintura - Técnica e materiais
LC00345;Belas-Artes - Pintura - Pintura aquarela
LC00346;Belas-Artes - Mídia impressa
LC00347;Belas-Artes - Mídia impressa - Copiando arte. Arte com fotocopiadora 
LC00348;Belas-Artes - Mídia impressa - Gravura em vidro
LC00349;Belas-Artes - Mídia impressa - Gravura e aquatint
LC00350;Belas-Artes - Mídia impressa - Litografia
LC00351;Belas-Artes - Mídia impressa - Lumiprints
LC00352;Belas-Artes - Mídia impressa - Gravura em metal
LC00353;Belas-Artes - Mídia impressa - Monotipo (Impressão)
LC00354;Belas-Artes - Mídia impressa - Impressão de gravuras
LC00355;Belas-Artes - Mídia impressa - Impressão e gravura
LC00356;Belas-Artes - Mídia impressa - Serigrafia
LC00357;Belas-Artes - Mídia impressa - Gravura em madeira
LC00358;Belas-Artes - Escultura
LC00359;Belas-Artes - Escultura - Competições
LC00360;Belas-Artes - Escultura - Designs e técnica
LC00361;Belas-Artes - Escultura - Geral
LC00362;Belas-Artes - Escultura - Obras gerais
LC00363;Belas-Artes - Escultura - História
LC00364;Belas-Artes - Escultura - Móveis
LC00365;Belas-Artes - Escultura - Restauração de esculturas
LC00366;Belas-Artes - Escultura - Formulários especiais
LC00367;Belas-Artes - Escultura - Materiais especiais
LC00368;Belas-Artes - Escultura - Assuntos especiais
LC00369;Belas-Artes - Escultura - Estudo e ensino
LC00370;Belas-Artes - Artes visuais
LC00371;Belas-Artes - Artes visuais - Arte e estado. Arte pública
LC00372;Belas-Artes - Artes visuais - Arte como profissão. Artistas
LC00373;Belas-Artes - Artes visuais - Museus de arte
LC00374;Belas-Artes - Artes visuais - Estúdios de arte
LC00375;Belas-Artes - Artes visuais - Economia e arte
LC00376;Belas-Artes - Artes visuais - Exame e conservação de obras de arte
LC00377;Belas-Artes - Artes visuais - Exposições
LC00378;Belas-Artes - Artes visuais - Geral
LC00379;Belas-Artes - Artes visuais - Obras gerais
LC00380;Belas-Artes - Artes visuais - História
LC00381;Belas-Artes - Artes visuais - Coleções particulares e colecionadores
LC00382;Belas-Artes - Artes visuais - Disciplinas especiais de arte
LC00383;Belas-Artes - Artes visuais - Estudo e ensino. Pesquisa
LC00384;Belas-Artes - Artes visuais - Teoria. Filosofia. Estética das artes visuais
LC00385;Obras Gerais
LC00386;Obras Gerais - Artes visuais
LC00387;Obras Gerais - Academias e sociedades científicas
LC00388;Obras Gerais - Academias e sociedades científicas - Associações internacionais
LC00389;Obras Gerais - Coleções. Series. Trabalhos coletados
LC00390;Obras Gerais - Coleções. Series. Trabalhos coletados - Coleções para leitores judeus
LC00391;Obras Gerais - Coleções. Series. Trabalhos coletados - Coleções de monografias
LC00392;Obras Gerais - Coleções. Series. Trabalhos coletados - Dissertações inaugurais e do programa
LC00393;Obras Gerais - Coleções. Series. Trabalhos coletados - Coleção de panfletos
LC00394;Obras Gerais - Coleções. Series. Trabalhos coletados - Álbuns de recortes
LC00395;Obras Gerais - Dicionários e outras obras de referência geral
LC00396;Obras Gerais - Enciclopédias
LC00397;Obras Gerais - História da bolsa de estudos e aprendizagem. As humanidades
LC00398;Obras Gerais - História da bolsa de estudos e aprendizagem. As humanidades - Avaliação
LC00399;Obras Gerais - História da bolsa de estudos e aprendizagem. As humanidades - História
LC00400;Obras Gerais - História da bolsa de estudos e aprendizagem. As humanidades - Filosofia. Teoria
LC00401;Obras Gerais - Índices
LC00402;Obras Gerais - Museus. Colecionadores e coleta
LC00403;Obras Gerais - Museus. Colecionadores e coleta - Colecionadores e coleções
LC00404;Obras Gerais - Museus. Colecionadores e coleta - Museologia. Métodos de museu
LC00405;Obras Gerais - Jornais
LC00406;Obras Gerais - Periódicos
LC00407;Obras Gerais - Periódicos - Periódicos humorísticos
LC00408;Obras Gerais - Periódicos - Periódicos juvenis
LC00409;Obras Gerais - Periódicos - Periódicos para negros
LC00410;Obras Gerais - Periódicos - Periódicos para mulheres
LC00411;Obras Gerais - Anuários. Almanaques. Diretórios
LC00412;Obras Gerais - Anuários. Almanaques. Diretórios - Almanaques
LC00413;Obras Gerais - Anuários. Almanaques. Diretórios - Anuários
LC00414;Obras Gerais - Anuários. Almanaques. Diretórios - Diretórios. Trabalhos gerais de compilação de diretórios
LC00415;Geografia
LC00416;Geografia
LC00417;Geografia
LC00418;Geografia
LC00419;Geografia
LC00420;Geografia
LC00421;Geografia
LC00422;Geografia
LC00423;Geografia
LC00424;Geografia
LC00425;Geografia
LC00426;Geografia
LC00427;Geografia
LC00428;Geografia
LC00429;Geografia
LC00430;Geografia
LC00431;Geografia
LC00432;Geografia
LC00433;Geografia
LC00434;Geografia
LC00435;Geografia
LC00436;Geografia
LC00437;Geografia
LC00438;Geografia
LC00439;Geografia
LC00440;Geografia
LC00441;Geografia
LC00442;Geografia
LC00443;Geografia
LC00444;Geografia
LC00445;Geografia
LC00446;Geografia
LC00447;Geografia
LC00448;Geografia
LC00449;Geografia
LC00450;Geografia
LC00451;Geografia
LC00452;Geografia
LC00453;Geografia
LC00454;Geografia
LC00455;Geografia
LC00456;Geografia
LC00457;Geografia
LC00458;Geografia
LC00459;Geografia
LC00460;Geografia
LC00461;Geografia
LC00462;Geografia
LC00463;Geografia
LC00464;Geografia
LC00465;Geografia
LC00466;Geografia
LC00467;Geografia
LC00468;Geografia
LC00469;Geografia
LC00470;Geografia
LC00471;Geografia
LC00472;Geografia
LC00473;Geografia
